Label,Topic Number,Words
,0,na albania kg palm price delhi force albanian troop paper multinational port amp pulp tirana new singapore malaysia zimbabwe nq
,1,mexico hungary city council budapest mexican report brussels peso to boeing de proposal damage tuesday agenda april commission hold power
,2,brazil lb usda brazilian hog nigeria sao week us steady pork price paulo usa rio de nigerian chicago beef janeiro
,3,may result half yearly malaysia dividend million april amp lumpur kuala suez ringgit financial de stg june lat company accounts
,4,kong hong china australia hk australian rate chinese cut sydney beijing bank say year us british people handover rba tung
,5,state year bill law government plan house million budget also federal official senate committee washington clinton usa department money report
,6,flight air airline ba strike airport london airways service chemical passenger rubber british staff union france carrier domestic cabin crew
,7,bre toronto church pope meat trading abortion system tuesday canada year tse time inspection exchange official solidarity million vatican poland
,8,soccer german germany league first division results match bonn saturday standings waigel in at kohl union mark played friday van
,9,new york cbs power usa hit music year btr canada run customer three television boston station record network reported massachusetts
,10,india rupee indian bank bombay coffee new per cent price loan money firm romania friday power naphtha spot nymex non
,11,trade import country export eu year official world wto united states minister government market talk industry foreign tariff japan ministry
,12,tonne million wheat price year sugar import export crop per grain july may soybean corn cent market total chicago shipment
,13,bank percent central poland crown czech rate newsroom polish warsaw million zloty currency argentina bulgaria argentine latvia sweden finland aires
,14,party election government minister vote political parliament coalition poll prime leader president congress opposition budget year reform front iran deputy
,15,swiss colombia belgian franc belgium switzerland drug paribas zurich colombian bogota blair warrant percent panama bacob share london samper britain
,16,market percent stock rate point trader dollar share price index week day thursday trade dealer trading close higher lower london
,17,health tobacco industry settlement lawsuit state disease portugal suit company attorney general care case medical cancer smoking cigarette drug lisbon
,18,year day pope he people say time war world life it first many old also europe country rain east church
,19,yen million parent forecast japan year tokyo eps billion loss current note march div unless net result specified ltd sales
,20,press italy digest africa south story lira rand italian johannesburg iraq turkey african cargo newsroom may trillion accuracy milan vouch
,21,copper gold manila metal philippines aluminium lme zinc philippine tonne price year peso london nickel ounce australia tin mining producer
,22,game second win first cup final three team world last season match minute play four time year player third point
,23,company share inc million group corp stock usa shareholder unit amp executive ltd buy service chief firm statement plan co
,24,percent tax billion company year government bank market fund investment taiwan foreign share million business capital sector investor finance state
,25,china bank japan taiwan shanghai yuan beijing loan financial chinese million merger credit japanese tuesday business billion official plan venture
,26,new york day sony jakarta bonds indonesia thursday usa london it closed newsroom friday volume high one aaa share pt
,27,clinton house tn bill washington white congress agreement leader trade disaster republican year president usa senate fast republicans budget glickman
,28,plc el drought rig nino continental uk weather pilot group drilling new asahara south northern may london british homes gas
,29,percent year sale month april march million store rose growth rise first last billion week total quarter february increase rate
,30,south korea rebel north force official aid thai government army military food korean refugee talk people peace thailand war troop
,31,vessel port loading cargo due berth container day steel discharging waiting delay shipping general iraq tanker terminal may berthed cvrd
,32,pct uk may apr mar bln yr feb jan index jun thu wed mon london trade april price fri usa
,33,court trial case charge year judge woman prosecutor lawyer defence scandal former mcveigh he prison army charged attorney man found
,34,pakistan bank japan karachi pakistani official government police year boj found thursday child policy he sbp algeria minister central say
,35,tennis open first french beat spain australia year france set diana round seed match hingis court tournament majoli wimbledon princess
,36,research rating company alert cut corp usa inc buy stock analyst share market wall earnings long term york price new
,37,plant strike million union company car year official worker day project contract water power we production canada plan also month
,38,profit billion million bank year first quarter pound group percent mark austria surplus sale share net result company earnings business
,39,net share loss income per profit ended company usa inc q1 shr earnings million tax quarter common revenue expense total
,40,france french paris jospin right franc chirac socialist call juppe le centre year last back campaign it national service round
,41,president leader mobutu government country united kabila minister people year he zaire war but former city day political congo state
,42,bond million issue amp bank yield price bill year mln auction maturity debt inc note coupon municipal date usa sale
,43,oil gas crude barrel singapore gasoline fuel energy price per refinery cent petroleum cargo product june bpd million natural may
,44,european nato eu union country europe minister state summit member treaty alliance president spain leader meeting government talk join also
,45,horse racing point basketball nba nepal first silver race golf he game it big three kentucky shot free derby get
,46,police fire people killed official death crash he film injured saudi dalai versace miami died lama dead we three least
,47,israel israeli palestinian arab peace jewish east netanyahu egypt settlement jerusalem palestinians police jordan blast gaza bank middle official egyptian
,48,russia russian moscow world yeltsin second belarus greece metre athens germany rouble italy boris soviet race championship women ukraine sweden
,49,ireland irish party government british northern britain labour year sinn fein election ira minister parliament people kenya train national it
